text,affect,stems,Unnamed: 3,pos,pos_
heartbreaking,0.969,sadness,heartbreak,84,ADJ
mourning,0.969,sadness,mourn,100,VERB
tragic,0.961,sadness,tragic,84,ADJ
holocaust,0.953,sadness,holocaust,92,NOUN
suicidal,0.941,sadness,suicid,84,ADJ
misery,0.938,sadness,miseri,92,NOUN
massacre,0.931,sadness,massacr,92,NOUN
euthanasia,0.927,sadness,euthanasia,92,NOUN
depression,0.925,sadness,depress,92,NOUN
fatal,0.922,sadness,fatal,84,ADJ
bereavement,0.922,sadness,bereav,92,NOUN
grieving,0.922,sadness,griev,100,VERB
bereaved,0.92,sadness,bereav,100,VERB
devastation,0.917,sadness,devast,92,NOUN
death,0.915,sadness,death,92,NOUN
suicide,0.912,sadness,suicid,92,NOUN
devastated,0.912,sadness,devast,100,VERB
catastrophe,0.911,sadness,catastroph,92,NOUN
horrifying,0.907,sadness,horrifi,84,ADJ
tragedy,0.906,sadness,tragedi,92,NOUN
died,0.906,sadness,die,100,VERB
depressing,0.906,sadness,depress,84,ADJ
anguish,0.902,sadness,anguish,92,NOUN
agony,0.9,sadness,agoni,92,NOUN
deadly,0.898,sadness,dead,84,ADJ
weeping,0.896,sadness,weep,100,VERB
deceased,0.891,sadness,deceas,84,ADJ
stillbirth,0.891,sadness,stillbirth,92,NOUN
murderer,0.877,sadness,murder,92,NOUN
cancer,0.875,sadness,cancer,92,NOUN
dying,0.875,sadness,die,100,VERB
rape,0.875,sadness,rape,92,NOUN
devastating,0.875,sadness,devast,84,ADJ
sadness,0.864,sadness,sad,92,NOUN
morbidity,0.864,sadness,morbid,92,NOUN
execution,0.859,sadness,execut,92,NOUN
abandonment,0.859,sadness,abandon,92,NOUN
crucifixion,0.859,sadness,crucifixion,92,NOUN
grief,0.859,sadness,grief,92,NOUN
depressed,0.859,sadness,depress,100,VERB
perish,0.859,sadness,perish,100,VERB
traumatic,0.859,sadness,traumat,84,ADJ
atrocity,0.859,sadness,atroc,92,NOUN
cadaver,0.853,sadness,cadav,92,NOUN
betrayed,0.848,sadness,betray,100,VERB
treachery,0.848,sadness,treacheri,92,NOUN
funeral,0.844,sadness,funer,92,NOUN
grieve,0.844,sadness,griev,100,VERB
murderous,0.844,sadness,murder,84,ADJ
miserable,0.844,sadness,miser,84,ADJ
hopelessness,0.844,sadness,hopeless,92,NOUN
persecution,0.844,sadness,persecut,92,NOUN
sad,0.844,sadness,sad,84,ADJ
suffering,0.844,sadness,suffer,100,VERB
sorrow,0.844,sadness,sorrow,92,NOUN
homicide,0.844,sadness,homicid,92,NOUN
slaughtering,0.844,sadness,slaughter,100,VERB
destroyed,0.844,sadness,destroy,100,VERB
horrific,0.844,sadness,horrif,84,ADJ
unhappiness,0.839,sadness,unhappi,92,NOUN
crippled,0.836,sadness,crippl,100,VERB
bloodshed,0.836,sadness,bloodsh,92,NOUN
pained,0.833,sadness,pain,84,ADJ
manslaughter,0.833,sadness,manslaught,92,NOUN
carnage,0.833,sadness,carnag,92,NOUN
unbearable,0.83,sadness,unbear,84,ADJ
stillborn,0.83,sadness,stillborn,100,VERB
torment,0.828,sadness,torment,92,NOUN
helplessness,0.828,sadness,helpless,92,NOUN
annihilation,0.828,sadness,annihil,92,NOUN
slavery,0.828,sadness,slaveri,92,NOUN
annihilated,0.828,sadness,annihil,100,VERB
enslaved,0.828,sadness,enslav,100,VERB
casualty,0.828,sadness,casualti,92,NOUN
horrors,0.828,sadness,horror,92,NOUN
murder,0.828,sadness,murder,92,NOUN
mourn,0.828,sadness,mourn,100,VERB
morbid,0.828,sadness,morbid,84,ADJ
abandoned,0.828,sadness,abandon,100,VERB
sickness,0.828,sadness,sick,92,NOUN
mutilation,0.828,sadness,mutil,92,NOUN
miscarriage,0.824,sadness,miscarriag,92,NOUN
starvation,0.819,sadness,starvat,92,NOUN
cruelty,0.812,sadness,cruelti,92,NOUN
childloss,0.812,sadness,childloss,92,NOUN
disgrace,0.812,sadness,disgrac,92,NOUN
killing,0.812,sadness,kill,100,VERB
oppression,0.812,sadness,oppress,92,NOUN
terrorism,0.812,sadness,terror,92,NOUN
failure,0.812,sadness,failur,92,NOUN
famine,0.812,sadness,famin,92,NOUN
heartache,0.812,sadness,heartach,92,NOUN
burial,0.812,sadness,burial,92,NOUN
saddens,0.812,sadness,sadden,100,VERB
distraught,0.812,sadness,distraught,84,ADJ
despair,0.812,sadness,despair,92,NOUN
sadly,0.812,sadness,sad,86,ADV
mournful,0.812,sadness,mourn,84,ADJ
bloody,0.806,sadness,bloodi,84,ADJ
inhumanity,0.804,sadness,inhuman,92,NOUN
perishing,0.804,sadness,perish,100,VERB
malignancy,0.803,sadness,malign,92,NOUN
mortification,0.802,sadness,mortif,92,NOUN
kill,0.797,sadness,kill,100,VERB
lifeless,0.797,sadness,lifeless,84,ADJ
dreadful,0.797,sadness,dread,84,ADJ
slave,0.797,sadness,slave,92,NOUN
desolation,0.797,sadness,desol,92,NOUN
devastate,0.797,sadness,devast,100,VERB
perished,0.797,sadness,perish,100,VERB
assassination,0.797,sadness,assassin,92,NOUN
mortuary,0.797,sadness,mortuari,92,NOUN
dreadfully,0.797,sadness,dread,86,ADV
leukemia,0.797,sadness,leukemia,92,NOUN
sarcoma,0.797,sadness,sarcoma,92,NOUN
lethal,0.797,sadness,lethal,84,ADJ
gallows,0.797,sadness,gallow,92,NOUN
brokenheart,0.792,sadness,brokenheart,92,NOUN
banishment,0.79,sadness,banish,92,NOUN
afflict,0.789,sadness,afflict,100,VERB
disheartened,0.788,sadness,dishearten,84,ADJ
bury,0.781,sadness,buri,100,VERB
desecration,0.781,sadness,desecr,92,NOUN
demoralized,0.781,sadness,demor,100,VERB
tumour,0.781,sadness,tumour,92,NOUN
terrorize,0.781,sadness,terror,100,VERB
crying,0.781,sadness,cri,100,VERB
heartbreak,0.781,sadness,heartbreak,92,NOUN
die,0.773,sadness,die,100,VERB
lynch,0.773,sadness,lynch,92,NOUN
sufferer,0.77,sadness,suffer,92,NOUN
loneliness,0.766,sadness,loneli,92,NOUN
abortion,0.766,sadness,abort,92,NOUN
dismemberment,0.766,sadness,dismember,92,NOUN
diseased,0.766,sadness,diseas,84,ADJ
fearful,0.766,sadness,fear,84,ADJ
destitute,0.766,sadness,destitut,84,ADJ
torture,0.766,sadness,tortur,92,NOUN
slayer,0.766,sadness,slayer,92,NOUN
cemetery,0.766,sadness,cemeteri,92,NOUN
fatality,0.766,sadness,fatal,92,NOUN
condolence,0.766,sadness,condol,92,NOUN
doomed,0.766,sadness,doom,100,VERB
painfully,0.758,sadness,pain,86,ADV
moribund,0.758,sadness,moribund,84,ADJ
disaster,0.758,sadness,disast,92,NOUN
depress,0.755,sadness,depress,100,VERB
condemnation,0.754,sadness,condemn,92,NOUN
victimized,0.75,sadness,victim,100,VERB
obliteration,0.75,sadness,obliter,92,NOUN
depressive,0.75,sadness,depress,84,ADJ
terrorist,0.75,sadness,terrorist,84,ADJ
guilt,0.75,sadness,guilt,92,NOUN
incest,0.75,sadness,incest,92,NOUN
pandemic,0.75,sadness,pandem,92,NOUN
unhappy,0.75,sadness,unhappi,84,ADJ
defeated,0.75,sadness,defeat,100,VERB
painful,0.75,sadness,pain,84,ADJ
deplorable,0.75,sadness,deplor,84,ADJ
damnation,0.75,sadness,damnat,92,NOUN
doomsday,0.75,sadness,doomsday,92,NOUN
corpse,0.75,sadness,corps,92,NOUN
abduction,0.75,sadness,abduct,92,NOUN
sorrowful,0.75,sadness,sorrow,84,ADJ
regretful,0.75,sadness,regret,84,ADJ
desperation,0.75,sadness,desper,92,NOUN
cry,0.75,sadness,cri,100,VERB
sickening,0.75,sadness,sicken,84,ADJ
hemorrhage,0.75,sadness,hemorrhag,92,NOUN
unfairness,0.745,sadness,unfair,92,NOUN
molestation,0.744,sadness,molest,92,NOUN
exile,0.742,sadness,exil,92,NOUN
abysmal,0.742,sadness,abysm,84,ADJ
hellish,0.738,sadness,hellish,84,ADJ
exterminate,0.736,sadness,extermin,92,NOUN
disgraced,0.734,sadness,disgrac,100,VERB
homeless,0.734,sadness,homeless,84,ADJ
destroying,0.734,sadness,destroy,100,VERB
battered,0.734,sadness,batter,100,VERB
betrayal,0.734,sadness,betray,92,NOUN
horrid,0.734,sadness,horrid,84,ADJ
warfare,0.734,sadness,warfar,92,NOUN
assassin,0.734,sadness,assassin,92,NOUN
disastrous,0.734,sadness,disastr,84,ADJ
lonesome,0.734,sadness,lonesom,86,ADV
miserably,0.734,sadness,miser,86,ADV
morgue,0.734,sadness,morgu,92,NOUN
slaughter,0.734,sadness,slaughter,92,NOUN
earthquake,0.734,sadness,earthquak,92,NOUN
orphan,0.734,sadness,orphan,92,NOUN
listless,0.729,sadness,listless,84,ADJ
grave,0.727,sadness,grave,92,NOUN
emptiness,0.727,sadness,empti,92,NOUN
unfortunately,0.727,sadness,unfortun,86,ADV
alienated,0.727,sadness,alien,100,VERB
fraught,0.722,sadness,fraught,84,ADJ
forsaken,0.719,sadness,forsaken,84,ADJ
leprosy,0.719,sadness,leprosi,92,NOUN
cried,0.719,sadness,cri,100,VERB
paralysis,0.719,sadness,paralysi,92,NOUN
malicious,0.719,sadness,malici,84,ADJ
ashamed,0.719,sadness,asham,84,ADJ
woe,0.719,sadness,woe,92,NOUN
danger,0.719,sadness,danger,92,NOUN
disheartening,0.719,sadness,dishearten,100,VERB
heartless,0.719,sadness,heartless,84,ADJ
violently,0.719,sadness,violent,86,ADV
cripple,0.719,sadness,crippl,100,VERB
horror,0.719,sadness,horror,92,NOUN
atrophy,0.719,sadness,atrophi,92,NOUN
missing,0.719,sadness,miss,100,VERB
emaciated,0.719,sadness,emaci,84,ADJ
pain,0.719,sadness,pain,92,NOUN
demise,0.717,sadness,demis,86,ADV
sickly,0.712,sadness,sick,84,ADJ
disgruntled,0.712,sadness,disgruntl,84,ADJ
violence,0.712,sadness,violenc,92,NOUN
rejected,0.712,sadness,reject,100,VERB
torn,0.71,sadness,torn,100,VERB
calamity,0.709,sadness,calam,92,NOUN
grim,0.708,sadness,grim,84,ADJ
grievous,0.704,sadness,grievous,84,ADJ
hearse,0.703,sadness,hears,92,NOUN
extinct,0.703,sadness,extinct,86,ADV
crushed,0.703,sadness,crush,100,VERB
isolation,0.703,sadness,isol,92,NOUN
meltdown,0.703,sadness,meltdown,92,NOUN
obit,0.703,sadness,obit,92,NOUN
paralyzed,0.703,sadness,paralyz,84,ADJ
carcinoma,0.703,sadness,carcinoma,92,NOUN
suffocating,0.703,sadness,suffoc,100,VERB
deformed,0.703,sadness,deform,100,VERB
inhuman,0.703,sadness,inhuman,84,ADJ
punishing,0.703,sadness,punish,100,VERB
incurable,0.703,sadness,incur,84,ADJ
strangle,0.703,sadness,strangl,92,NOUN
disfigured,0.703,sadness,disfigur,100,VERB
victim,0.703,sadness,victim,92,NOUN
deformity,0.703,sadness,deform,92,NOUN
slaughterhouse,0.703,sadness,slaughterhous,92,NOUN
decomposition,0.703,sadness,decomposit,92,NOUN
humiliate,0.703,sadness,humili,100,VERB
buried,0.703,sadness,buri,100,VERB
oppressor,0.703,sadness,oppressor,92,NOUN
abandon,0.703,sadness,abandon,100,VERB
tearful,0.703,sadness,tear,84,ADJ
isolate,0.703,sadness,isol,100,VERB
lifesucks,0.7,sadness,lifesuck,92,NOUN
hell,0.7,sadness,hell,96,PROPN
ruinous,0.698,sadness,ruinous,84,ADJ
banish,0.697,sadness,banish,92,NOUN
ruined,0.697,sadness,ruin,100,VERB
accursed,0.697,sadness,accurs,84,ADJ
widow,0.697,sadness,widow,92,NOUN
vanished,0.695,sadness,vanish,100,VERB
displaced,0.691,sadness,displac,100,VERB
poverty,0.69,sadness,poverti,92,NOUN
illness,0.688,sadness,ill,92,NOUN
hopeless,0.688,sadness,hopeless,84,ADJ
travesty,0.688,sadness,travesti,92,NOUN
deserted,0.688,sadness,desert,100,VERB
regretting,0.688,sadness,regret,100,VERB
loss,0.688,sadness,loss,92,NOUN
pathetic,0.688,sadness,pathet,84,ADJ
nohope,0.688,sadness,nohop,92,NOUN
stab,0.688,sadness,stab,92,NOUN
shooting,0.688,sadness,shoot,100,VERB
foreveralone,0.688,sadness,foreveralon,92,NOUN
imprisoned,0.688,sadness,imprison,100,VERB
insanity,0.688,sadness,insan,92,NOUN
hurtful,0.688,sadness,hurt,84,ADJ
terminal,0.688,sadness,termin,84,ADJ
epidemic,0.688,sadness,epidem,92,NOUN
hurt,0.688,sadness,hurt,100,VERB
depraved,0.688,sadness,deprav,84,ADJ
banished,0.688,sadness,banish,84,ADJ
infidelity,0.688,sadness,infidel,92,NOUN
neglected,0.688,sadness,neglect,100,VERB
sob,0.688,sadness,sob,92,NOUN
teary,0.688,sadness,teari,84,ADJ
dementia,0.688,sadness,dementia,92,NOUN
widower,0.688,sadness,widow,92,NOUN
hospice,0.688,sadness,hospic,92,NOUN
dismissal,0.686,sadness,dismiss,92,NOUN
alienation,0.685,sadness,alien,92,NOUN
hardship,0.685,sadness,hardship,92,NOUN
kidnap,0.682,sadness,kidnap,92,NOUN
choke,0.682,sadness,choke,92,NOUN
bleeding,0.673,sadness,bleed,100,VERB
outcast,0.672,sadness,outcast,84,ADJ
despairing,0.672,sadness,despair,92,NOUN
woefully,0.672,sadness,woefulli,86,ADV
belittle,0.672,sadness,belittl,100,VERB
evil,0.672,sadness,evil,92,NOUN
disparage,0.672,sadness,disparag,100,VERB
feelingdown,0.672,sadness,feelingdown,84,ADJ
imprisonment,0.672,sadness,imprison,92,NOUN
frightful,0.672,sadness,fright,84,ADJ
punished,0.672,sadness,punish,100,VERB
missingyou,0.672,sadness,missingyou,92,NOUN
wretched,0.672,sadness,wretch,90,DET
abortive,0.672,sadness,abort,84,ADJ
obituary,0.672,sadness,obituari,92,NOUN
gory,0.672,sadness,gori,84,ADJ
wretch,0.672,sadness,wretch,92,NOUN
poison,0.672,sadness,poison,92,NOUN
coffin,0.672,sadness,coffin,92,NOUN
deprivation,0.672,sadness,depriv,92,NOUN
malevolent,0.672,sadness,malevol,84,ADJ
wail,0.672,sadness,wail,92,NOUN
disabled,0.672,sadness,disabl,100,VERB
decomposed,0.672,sadness,decompos,84,ADJ
barren,0.67,sadness,barren,84,ADJ
poisoned,0.667,sadness,poison,84,ADJ
executioner,0.667,sadness,execution,92,NOUN
disease,0.665,sadness,diseas,92,NOUN
oppress,0.664,sadness,oppress,100,VERB
disembodied,0.66,sadness,disembodi,100,VERB
tear,0.656,sadness,tear,92,NOUN
hate,0.656,sadness,hate,100,VERB
lonely,0.656,sadness,lone,84,ADJ
dreary,0.656,sadness,dreari,84,ADJ
blighted,0.656,sadness,blight,84,ADJ
ailing,0.656,sadness,ail,84,ADJ
demonic,0.656,sadness,demon,84,ADJ
peril,0.656,sadness,peril,92,NOUN
jail,0.656,sadness,jail,92,NOUN
lamenting,0.656,sadness,lament,100,VERB
shitty,0.656,sadness,shitti,84,ADJ
polio,0.656,sadness,polio,92,NOUN
mangle,0.656,sadness,mangl,92,NOUN
ruin,0.656,sadness,ruin,92,NOUN
weep,0.656,sadness,weep,100,VERB
steal,0.656,sadness,steal,100,VERB
casket,0.656,sadness,casket,92,NOUN
bleak,0.656,sadness,bleak,84,ADJ
carcass,0.653,sadness,carcass,92,NOUN
regretted,0.652,sadness,regret,100,VERB
