text,affect,stems,Unnamed: 3,pos,pos_
beating,0.652,sadness,beat,100,VERB
cowardice,0.652,sadness,cowardic,92,NOUN
disability,0.648,sadness,disabl,92,NOUN
affliction,0.645,sadness,afflict,92,NOUN
emergency,0.641,sadness,emerg,92,NOUN
hatred,0.641,sadness,hatr,92,NOUN
termination,0.641,sadness,termin,92,NOUN
awful,0.641,sadness,aw,84,ADJ
exorcism,0.641,sadness,exorc,92,NOUN
sinful,0.641,sadness,sin,84,ADJ
scourge,0.641,sadness,scourg,92,NOUN
perilous,0.641,sadness,peril,84,ADJ
poisonous,0.641,sadness,poison,84,ADJ
worry,0.641,sadness,worri,92,NOUN
drown,0.641,sadness,drown,100,VERB
infertility,0.641,sadness,infertil,92,NOUN
shroud,0.641,sadness,shroud,92,NOUN
powerless,0.641,sadness,powerless,84,ADJ
woeful,0.641,sadness,woeful,84,ADJ
failing,0.641,sadness,fail,100,VERB
terribly,0.641,sadness,terribl,86,ADV
inequality,0.641,sadness,inequ,92,NOUN
incarceration,0.641,sadness,incarcer,92,NOUN
stricken,0.641,sadness,stricken,100,VERB
psychosis,0.638,sadness,psychosi,92,NOUN
disappointed,0.636,sadness,disappoint,100,VERB
demolish,0.636,sadness,demolish,100,VERB
dismay,0.636,sadness,dismay,92,NOUN
lament,0.636,sadness,lament,100,VERB
burdensome,0.634,sadness,burdensom,84,ADJ
mausoleum,0.63,sadness,mausoleum,92,NOUN
shattered,0.63,sadness,shatter,100,VERB
tyrant,0.625,sadness,tyrant,92,NOUN
disappointing,0.625,sadness,disappoint,100,VERB
insurmountable,0.625,sadness,insurmount,84,ADJ
wound,0.625,sadness,wound,92,NOUN
impotence,0.625,sadness,impot,92,NOUN
wrecked,0.625,sadness,wreck,100,VERB
abuse,0.625,sadness,abus,92,NOUN
demolished,0.625,sadness,demolish,100,VERB
palsy,0.625,sadness,palsi,92,NOUN
lost,0.625,sadness,lost,100,VERB
posthumous,0.625,sadness,posthum,84,ADJ
gloom,0.625,sadness,gloom,92,NOUN
schizophrenia,0.625,sadness,schizophrenia,92,NOUN
cursed,0.625,sadness,curs,100,VERB
undesired,0.625,sadness,undesir,84,ADJ
forlorn,0.625,sadness,forlorn,84,ADJ
terminate,0.625,sadness,termin,92,NOUN
dishonor,0.625,sadness,dishonor,92,NOUN
regret,0.625,sadness,regret,92,NOUN
bitterly,0.625,sadness,bitter,86,ADV
hurting,0.625,sadness,hurt,100,VERB
duress,0.625,sadness,duress,92,NOUN
oppressive,0.625,sadness,oppress,84,ADJ
deteriorate,0.625,sadness,deterior,92,NOUN
soulless,0.623,sadness,soulless,84,ADJ
divorce,0.623,sadness,divorc,92,NOUN
melancholy,0.621,sadness,melancholi,84,ADJ
cremation,0.621,sadness,cremat,92,NOUN
bomb,0.621,sadness,bomb,92,NOUN
forsake,0.621,sadness,forsak,100,VERB
worried,0.621,sadness,worri,84,ADJ
plight,0.621,sadness,plight,92,NOUN
unforgiving,0.612,sadness,unforgiv,84,ADJ
sepsis,0.611,sadness,sepsi,92,NOUN
overwhelmed,0.609,sadness,overwhelm,100,VERB
fearfully,0.609,sadness,fear,86,ADV
languishing,0.609,sadness,languish,100,VERB
alcoholism,0.609,sadness,alcohol,92,NOUN
irreparable,0.609,sadness,irrepar,84,ADJ
bankrupt,0.609,sadness,bankrupt,84,ADJ
gore,0.609,sadness,gore,92,NOUN
debacle,0.609,sadness,debacl,92,NOUN
cruel,0.609,sadness,cruel,84,ADJ
injured,0.609,sadness,injur,100,VERB
faithless,0.609,sadness,faithless,84,ADJ
ugliness,0.609,sadness,ugli,92,NOUN
derogatory,0.609,sadness,derogatori,84,ADJ
injure,0.609,sadness,injur,100,VERB
disappoint,0.609,sadness,disappoint,86,ADV
crushing,0.609,sadness,crush,100,VERB
shackle,0.609,sadness,shackl,92,NOUN
dire,0.609,sadness,dire,84,ADJ
sacrifices,0.609,sadness,sacrific,92,NOUN
breakup,0.609,sadness,breakup,92,NOUN
subjugation,0.609,sadness,subjug,92,NOUN
excluded,0.609,sadness,exclud,100,VERB
sinner,0.609,sadness,sinner,92,NOUN
degrading,0.609,sadness,degrad,100,VERB
worthless,0.609,sadness,worthless,84,ADJ
guilty,0.609,sadness,guilti,84,ADJ
shatter,0.609,sadness,shatter,100,VERB
disparaging,0.609,sadness,disparag,100,VERB
dilapidated,0.609,sadness,dilapid,84,ADJ
shameful,0.609,sadness,shame,84,ADJ
curse,0.608,sadness,curs,92,NOUN
anthrax,0.6,sadness,anthrax,92,NOUN
robbery,0.6,sadness,robberi,92,NOUN
alone,0.6,sadness,alon,86,ADV
angst,0.598,sadness,angst,92,NOUN
losing,0.594,sadness,lose,100,VERB
prison,0.594,sadness,prison,92,NOUN
somber,0.594,sadness,somber,84,ADJ
contaminated,0.594,sadness,contamin,100,VERB
deprived,0.594,sadness,depriv,84,ADJ
martyrdom,0.594,sadness,martyrdom,92,NOUN
irreconcilable,0.594,sadness,irreconcil,84,ADJ
poaching,0.594,sadness,poach,92,NOUN
bawl,0.594,sadness,bawl,92,NOUN
eviction,0.594,sadness,evict,92,NOUN
ill,0.594,sadness,ill,84,ADJ
helpless,0.594,sadness,helpless,84,ADJ
downfall,0.594,sadness,downfal,92,NOUN
deportation,0.594,sadness,deport,92,NOUN
crumbling,0.594,sadness,crumbl,100,VERB
distress,0.594,sadness,distress,92,NOUN
disappointment,0.594,sadness,disappoint,92,NOUN
demon,0.594,sadness,demon,92,NOUN
nothingness,0.594,sadness,nothing,92,NOUN
condolences,0.594,sadness,condol,100,VERB
crypt,0.594,sadness,crypt,84,ADJ
longing,0.594,sadness,long,92,NOUN
shame,0.594,sadness,shame,92,NOUN
captivity,0.594,sadness,captiv,92,NOUN
obliterate,0.594,sadness,obliter,100,VERB
chaos,0.594,sadness,chao,92,NOUN
violation,0.594,sadness,violat,92,NOUN
vendetta,0.594,sadness,vendetta,92,NOUN
broken,0.594,sadness,broken,100,VERB
abyss,0.594,sadness,abyss,92,NOUN
petloss,0.594,sadness,petloss,92,NOUN
offender,0.594,sadness,offend,92,NOUN
remorse,0.594,sadness,remors,92,NOUN
betray,0.594,sadness,betray,100,VERB
dysentery,0.593,sadness,dysenteri,92,NOUN
blight,0.591,sadness,blight,92,NOUN
melancholic,0.591,sadness,melanchol,84,ADJ
rupture,0.588,sadness,ruptur,92,NOUN
traitor,0.588,sadness,traitor,92,NOUN
haggard,0.587,sadness,haggard,84,ADJ
lie,0.585,sadness,lie,100,VERB
cholera,0.583,sadness,cholera,92,NOUN
degeneracy,0.578,sadness,degeneraci,92,NOUN
undesirable,0.578,sadness,undesir,84,ADJ
gloomy,0.578,sadness,gloomi,84,ADJ
turmoil,0.578,sadness,turmoil,92,NOUN
terrible,0.578,sadness,terribl,84,ADJ
frighten,0.578,sadness,frighten,100,VERB
unwell,0.578,sadness,unwel,84,ADJ
bully,0.578,sadness,bulli,92,NOUN
bitterness,0.578,sadness,bitter,92,NOUN
discrimination,0.578,sadness,discrimin,92,NOUN
whine,0.578,sadness,whine,92,NOUN
humiliation,0.578,sadness,humili,92,NOUN
sordid,0.578,sadness,sordid,84,ADJ
immoral,0.578,sadness,immor,84,ADJ
harmful,0.578,sadness,harm,84,ADJ
interment,0.578,sadness,inter,92,NOUN
denied,0.578,sadness,deni,100,VERB
damage,0.578,sadness,damag,92,NOUN
delirium,0.576,sadness,delirium,92,NOUN
captive,0.576,sadness,captiv,84,ADJ
pessimism,0.576,sadness,pessim,92,NOUN
deplore,0.576,sadness,deplor,92,NOUN
whimper,0.576,sadness,whimper,92,NOUN
disliked,0.576,sadness,dislik,100,VERB
devil,0.576,sadness,devil,92,NOUN
damages,0.576,sadness,damag,100,VERB
hateful,0.575,sadness,hate,84,ADJ
bigoted,0.574,sadness,bigot,84,ADJ
perdition,0.569,sadness,perdit,92,NOUN
adultery,0.566,sadness,adulteri,92,NOUN
corrupting,0.565,sadness,corrupt,100,VERB
worsening,0.562,sadness,worsen,100,VERB
flog,0.562,sadness,flog,92,NOUN
dismal,0.562,sadness,dismal,84,ADJ
comatose,0.562,sadness,comatos,84,ADJ
autopsy,0.562,sadness,autopsi,84,ADJ
worrying,0.562,sadness,worri,100,VERB
deceive,0.562,sadness,deceiv,100,VERB
tomb,0.562,sadness,tomb,92,NOUN
deceit,0.562,sadness,deceit,92,NOUN
wallow,0.562,sadness,wallow,100,VERB
pessimist,0.562,sadness,pessimist,84,ADJ
rejection,0.562,sadness,reject,92,NOUN
sadday,0.562,sadness,sadday,92,NOUN
shipwreck,0.562,sadness,shipwreck,92,NOUN
deceitful,0.562,sadness,deceit,84,ADJ
urn,0.562,sadness,urn,92,NOUN
punitive,0.562,sadness,punit,84,ADJ
injury,0.562,sadness,injuri,92,NOUN
resentment,0.562,sadness,resent,92,NOUN
endocarditis,0.562,sadness,endocard,92,NOUN
rheumatism,0.562,sadness,rheumat,92,NOUN
infliction,0.562,sadness,inflict,92,NOUN
expire,0.562,sadness,expir,100,VERB
tyranny,0.562,sadness,tyranni,92,NOUN
anathema,0.562,sadness,anathema,92,NOUN
pauper,0.562,sadness,pauper,84,ADJ
runaway,0.562,sadness,runaway,92,NOUN
upset,0.562,sadness,upset,92,NOUN
departed,0.558,sadness,depart,100,VERB
martyr,0.556,sadness,martyr,92,NOUN
smite,0.555,sadness,smite,100,VERB
malaria,0.547,sadness,malaria,92,NOUN
hanging,0.547,sadness,hang,100,VERB
chagrin,0.547,sadness,chagrin,92,NOUN
malaise,0.547,sadness,malais,92,NOUN
memorial,0.547,sadness,memori,84,ADJ
resignation,0.547,sadness,resign,92,NOUN
absence,0.547,sadness,absenc,92,NOUN
imissyou,0.547,sadness,imissyou,92,NOUN
bummed,0.547,sadness,bum,100,VERB
unkind,0.547,sadness,unkind,84,ADJ
isolated,0.547,sadness,isol,84,ADJ
plague,0.547,sadness,plagu,92,NOUN
shot,0.547,sadness,shot,100,VERB
bomber,0.547,sadness,bomber,92,NOUN
hydrocephalus,0.547,sadness,hydrocephalus,92,NOUN
surrendering,0.547,sadness,surrend,100,VERB
unfulfilled,0.547,sadness,unfulfil,84,ADJ
discourage,0.547,sadness,discourag,92,NOUN
disillusionment,0.547,sadness,disillusion,92,NOUN
reject,0.547,sadness,reject,100,VERB
shun,0.547,sadness,shun,100,VERB
pity,0.547,sadness,piti,92,NOUN
glum,0.547,sadness,glum,84,ADJ
nefarious,0.546,sadness,nefari,84,ADJ
groan,0.545,sadness,groan,92,NOUN
concussion,0.545,sadness,concuss,92,NOUN
dark,0.545,sadness,dark,84,ADJ
incrimination,0.545,sadness,incrimin,92,NOUN
weakly,0.544,sadness,weak,86,ADV
aching,0.544,sadness,ach,100,VERB
discontent,0.543,sadness,discont,92,NOUN
undertaker,0.538,sadness,undertak,92,NOUN
assailant,0.536,sadness,assail,92,NOUN
deterioration,0.536,sadness,deterior,92,NOUN
sorely,0.531,sadness,sore,86,ADV
antisocial,0.531,sadness,antisoci,84,ADJ
homesick,0.531,sadness,homesick,86,ADV
confined,0.531,sadness,confin,100,VERB
inimical,0.531,sadness,inim,84,ADJ
attacking,0.531,sadness,attack,100,VERB
tarnish,0.531,sadness,tarnish,92,NOUN
forfeiture,0.531,sadness,forfeitur,92,NOUN
theft,0.531,sadness,theft,92,NOUN
outburst,0.531,sadness,outburst,92,NOUN
fooled,0.531,sadness,fool,100,VERB
disgust,0.531,sadness,disgust,92,NOUN
embolism,0.531,sadness,embol,92,NOUN
requiem,0.531,sadness,requiem,92,NOUN
console,0.531,sadness,consol,92,NOUN
dispossessed,0.531,sadness,dispossess,100,VERB
disparity,0.531,sadness,dispar,92,NOUN
sick,0.531,sadness,sick,84,ADJ
prisoner,0.531,sadness,prison,92,NOUN
embarrassment,0.531,sadness,embarrass,92,NOUN
ache,0.531,sadness,ach,92,NOUN
inflict,0.531,sadness,inflict,100,VERB
neurosis,0.531,sadness,neurosi,92,NOUN
epitaph,0.531,sadness,epitaph,92,NOUN
penance,0.531,sadness,penanc,92,NOUN
sullen,0.531,sadness,sullen,84,ADJ
grievance,0.53,sadness,grievanc,92,NOUN
relapse,0.53,sadness,relaps,92,NOUN
forgotten,0.53,sadness,forgotten,100,VERB
unpleasant,0.53,sadness,unpleas,84,ADJ
disable,0.529,sadness,disabl,84,ADJ
defenseless,0.526,sadness,defenseless,84,ADJ
defunct,0.518,sadness,defunct,84,ADJ
ridicule,0.518,sadness,ridicul,92,NOUN
misfortune,0.516,sadness,misfortun,92,NOUN
blindness,0.516,sadness,blind,92,NOUN
unfriendly,0.516,sadness,unfriend,84,ADJ
delusion,0.516,sadness,delus,92,NOUN
wither,0.516,sadness,wither,100,VERB
stifled,0.516,sadness,stifl,100,VERB
elimination,0.516,sadness,elimin,92,NOUN
unlucky,0.516,sadness,unlucki,84,ADJ
sore,0.516,sadness,sore,84,ADJ
retard,0.516,sadness,retard,84,ADJ
vegetative,0.516,sadness,veget,84,ADJ
stripped,0.516,sadness,strip,100,VERB
sin,0.516,sadness,sin,92,NOUN
sequestration,0.516,sadness,sequestr,92,NOUN
displeased,0.516,sadness,displeas,84,ADJ
accident,0.516,sadness,accid,92,NOUN
dumps,0.516,sadness,dump,100,VERB
hideous,0.516,sadness,hideous,84,ADJ
weakness,0.516,sadness,weak,92,NOUN
decayed,0.516,sadness,decay,100,VERB
unrequited,0.509,sadness,unrequit,84,ADJ
dictatorship,0.509,sadness,dictatorship,92,NOUN
complain,0.509,sadness,complain,100,VERB
lose,0.509,sadness,lose,100,VERB
regrettable,0.509,sadness,regrett,84,ADJ
insecure,0.509,sadness,insecur,84,ADJ
witchcraft,0.508,sadness,witchcraft,92,NOUN
drugged,0.5,sadness,drug,100,VERB
disrespectful,0.5,sadness,disrespect,84,ADJ
unfair,0.5,sadness,unfair,84,ADJ
gonorrhea,0.5,sadness,gonorrhea,92,NOUN
disturbed,0.5,sadness,disturb,100,VERB
rot,0.5,sadness,rot,100,VERB
negative,0.5,sadness,negat,84,ADJ
howl,0.5,sadness,howl,92,NOUN
dolor,0.5,sadness,dolor,92,NOUN
mortality,0.5,sadness,mortal,92,NOUN
mad,0.5,sadness,mad,84,ADJ
atherosclerosis,0.5,sadness,atherosclerosi,92,NOUN
impossible,0.5,sadness,imposs,84,ADJ
crash,0.5,sadness,crash,92,NOUN
injurious,0.5,sadness,injuri,84,ADJ
chronic,0.5,sadness,chronic,84,ADJ
frowning,0.5,sadness,frown,100,VERB
discomfort,0.5,sadness,discomfort,92,NOUN
intolerant,0.5,sadness,intoler,84,ADJ
ungodly,0.5,sadness,ungod,84,ADJ
aftermath,0.5,sadness,aftermath,92,NOUN
explode,0.5,sadness,explod,100,VERB
cringe,0.5,sadness,cring,100,VERB
battled,0.5,sadness,battl,100,VERB
deport,0.5,sadness,deport,100,VERB
nauseous,0.5,sadness,nauseous,84,ADJ
exclusion,0.5,sadness,exclus,92,NOUN
aggravating,0.5,sadness,aggrav,100,VERB
senile,0.5,sadness,senil,84,ADJ
anxiety,0.5,sadness,anxieti,92,NOUN
weary,0.5,sadness,weari,84,ADJ
cytomegalovirus,0.5,sadness,cytomegalovirus,92,NOUN
prosecute,0.5,sadness,prosecut,100,VERB
difficulty,0.5,sadness,difficulti,92,NOUN
bier,0.5,sadness,bier,92,NOUN
bankruptcy,0.5,sadness,bankruptci,92,NOUN
endemic,0.5,sadness,endem,84,ADJ
offended,0.5,sadness,offend,100,VERB
damper,0.5,sadness,damper,92,NOUN
messedup,0.5,sadness,messedup,92,NOUN
coma,0.5,sadness,coma,92,NOUN
evict,0.5,sadness,evict,92,NOUN
